m1_source,m2_source,dL,z,likelihood,posterior
7.173367549575372593e+00,1.253405367710421769e+00,2.822454500000000053e+02,6.111265697664938767e-02,1.115143217902537586e-05,1.115143217902537586e-05
7.865400826214787422e+00,1.127337602100711544e+00,3.960909700000000271e+02,8.439175427308194533e-02,5.422234091537919753e-06,5.422234091537919753e-06
7.036488396130778256e+00,1.317326095586298207e+00,1.698322400000000130e+02,3.740243556913128847e-02,3.222069464635891406e-05,3.222069464635891406e-05
5.272875182074777456e+00,1.571814945302527411e+00,2.978637668713764697e+02,6.434799816407990591e-02,9.951984928386301371e-06,9.951984928386301371e-06
5.994174414874995804e+00,1.362242466394346208e+00,4.194419763721037384e+02,8.908295388869698350e-02,4.793812646065981411e-06,4.793812646065981411e-06
5.229757294455078309e+00,1.563390443889408177e+00,3.322520607968443755e+02,7.142376650766807389e-02,7.893411051602414126e-06,7.893411051602414126e-06
7.379434337024517454e+00,1.199615546526221932e+00,3.494787999999999784e+02,7.494422170012521311e-02,7.087842944292357721e-06,7.087842944292357721e-06
7.564015940148329342e+00,1.217646040282234443e+00,2.476832519025591637e+02,5.390345101977480485e-02,1.467917238879993050e-05,1.467917238879993050e-05
4.608438291625414962e+00,1.827829557401816851e+00,1.895895017336104900e+02,4.162570131620284969e-02,2.564630654769042134e-05,2.564630654769042134e-05
4.283704175856231977e+00,1.883052181564247585e+00,2.761224583265358206e+02,5.984050270166732521e-02,1.167941603354557855e-05,1.167941603354557855e-05
6.327355753887443868e+00,1.378362258173052579e+00,2.703409368675202131e+02,5.863733019071462604e-02,1.221197074291445517e-05,1.221197074291445517e-05
5.830338137094400075e+00,1.479020420741780528e+00,2.540703300000000127e+02,5.524094063369511254e-02,1.391513472097318043e-05,1.391513472097318043e-05
3.373579472025759696e+00,2.344514796722272809e+00,2.514424188030418463e+02,5.469093026734685864e-02,1.422231243889000694e-05,1.422231243889000694e-05
6.534780489926092173e+00,1.351268479427773839e+00,2.641783964626628176e+02,5.735274290942952991e-02,1.281939233084556626e-05,1.281939233084556626e-05
5.687751391059300943e+00,1.453451711961045723e+00,3.585852862061303199e+02,7.679884794271453485e-02,6.709283004284045769e-06,6.709283004284045769e-06
4.707430755365825448e+00,1.665391721850087325e+00,4.029714000000000169e+02,8.577686335033427034e-02,5.225318739207787425e-06,5.225318739207787425e-06
7.018286626316148968e+00,1.247939389876020932e+00,3.327707800000000020e+02,7.153000446027048265e-02,7.867264394606695240e-06,7.867264394606695240e-06
5.196413901670365654e+00,1.573195085571390761e+00,3.309076940433052982e+02,7.114836361868151493e-02,7.961763210009482430e-06,7.961763210009482430e-06
5.469371897368497493e+00,1.458049247210453370e+00,4.367196099999999888e+02,9.253662250961813829e-02,4.394139505677470970e-06,4.394139505677470970e-06
